subid,blockid,difference.in.rt.aa,mean.difference.in.rt,mean.absolute.difference.in.rt,rt_ratio,mean.difference.in.moral.score,mean.absolute.difference.in.moral.score,bias_ratio
29,3,-4.195884100000058,-3.9602548000002584,3.9602548000002584,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
1,3,-0.1249721999993198,0.3106947000008707,0.4437060333323946,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
11,3,0.1600768999999218,0.5548993333333101,0.5548993333333101,1,-0.11451681566624101,0.20647083865474672,0.16666666666666666
3,3,0.9956841999999144,0.20277726666665785,0.3329392666666611,0.6666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
6,3,-2.4126504000014393,-2.3839969000012693,2.3839969000012693,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
22,3,0.6341122000003452,-0.14839623333318744,0.14839623333318744,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
25,3,0.11566109999989749,0.11617073333316813,0.19174886666655766,0.6666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
24,3,0.07667940000010265,0.1722625000000638,0.3024258999998892,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
10,3,-0.05114050002885051,-0.027645066671539115,0.027645066671539115,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
17,3,0.0016038999997363135,0.5319609999996828,0.5349280666666042,0.6666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
14,3,0.16683119999993323,0.9247105666665902,0.9882795666666576,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
23,3,-0.6570587000002207,0.6030294333333283,1.016574300000002,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
9,3,-1.7102102999999715,-1.559049466666541,1.559049466666541,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
8,3,-0.6332588000000217,-0.25988386666669333,0.6104217333333964,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
26,3,-0.038408300000810414,0.032574300000002644,0.04892923333378955,0.6666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
20,3,-0.5863893000005191,-0.32161680000035625,0.32161680000035625,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
19,3,-0.16974769999978895,-0.12145573333297464,0.17843779999960444,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
5,3,-2.8039006999997587,-1.9066695000002867,2.2230471666666745,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
2,3,0.07358580000072834,-0.011591633331894021,0.01527389999925314,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
27,3,-0.5735812999998872,-0.545922999999751,0.545922999999751,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
7,3,-1.2991351000018767,-1.2316528999993654,1.2316528999993654,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
12,3,-0.06208220000007719,0.07881399999992779,0.15110573333333835,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
16,3,-1.1224781000000805,-0.6383447999996863,0.6383447999996863,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
13,3,-2.4550118000001935,-1.7931645666665954,1.7931645666665954,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
28,3,-1.5549959999998464,-1.5580060333328827,1.5580060333328827,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
21,3,-3.0604768000002878,-2.95276003333341,2.95276003333341,0.0,-0.11451681566624101,0.20647083865474672,0.16666666666666666
15,3,0.5274656999999934,0.03719526666615521,0.4753104666666938,0.16666666666666666,-0.11451681566624101,0.20647083865474672,0.16666666666666666
4,16,-0.7098749999999538,-0.3696072499999443,0.6912323999999614,0.08333333333333333,-0.12068965517241378,0.15517241379310345,0.08333333333333333
29,16,-0.0059765999999399355,-0.022701950000168822,0.035207250000098625,0.08333333333333333,-0.1206896551724138,0.15517241379310348,0.08333333333333333
1,16,-0.006044700000529646,0.2789713749991733,0.2789713749991733,1,-0.1206896551724138,0.15517241379310345,0.08333333333333333
11,16,0.10123920000000908,0.17661629999997785,0.17661629999997785,1,-0.1206896551724138,0.15517241379310345,0.08333333333333333
3,16,-0.6057448999999907,-0.5837921749999851,0.5837921749999851,0.0,-0.12068965517241378,0.15517241379310345,0.08333333333333333
6,16,-0.0679172999989533,0.6036624000007578,0.6522877500001414,0.25,-0.1206896551724138,0.15517241379310345,0.08333333333333333
22,16,-0.01646820000041771,0.9677499499996429,0.9677499499996429,1,-0.1206896551724138,0.15517241379310345,0.08333333333333333
